lemma,pos,sentiment,markedness,n_synsets
odszyfrowywać,NOUN,negative,- s,1
odtoczyć,NOUN,negative,- s,1
odtwarzać się,NOUN,positive,+ s,2
odtwórczość,VERB,negative,- s,2
odtwórczy,ADV,negative,- s,4
odtylny,ADV,negative,- s,2
odtłuszczać,NOUN,positive,+ s,3
odtłuszczać się,NOUN,positive,+ s,1
odtłuścić,NOUN,positive,+ s,2
odtłuścić się,NOUN,positive,+ s,2
odurzający,ADV,positive,+ m,1
odwaga,VERB,positive,+ s,3
odważniak,VERB,negative,- s,2
odważny,ADV,positive,+ s,4
odwet,VERB,negative,- m,2
odwetowiec,VERB,negative,- s,2
odwetowy,ADV,negative,- m,2
odwlec,NOUN,negative,- s,5
odwlekać,NOUN,negative,- s,5
odwojować,NOUN,positive,+ s,6
odwojowywać,NOUN,positive,+ s,5
odwołalny,ADV,positive,+ s,1
odwołać,NOUN,negative,- s,1
odwołać się,NOUN,positive,+ s,2
odwoływać,NOUN,negative,- s,1
odwoływać się,NOUN,positive,+ s,2
odwrót,VERB,negative,- s,1
odwszalnia,VERB,negative,- s,1
odwyk,VERB,positive,+ s,1
odwykowiec,VERB,negative,- s,2
odymiać,NOUN,positive,+ s,2
odymić,NOUN,positive,+ s,2
odyseja,VERB,negative,- s,2
odzierać,NOUN,negative,- s,6
odzierca,VERB,negative,- m,2
odznaczać,NOUN,positive,+ s,2
odznaczać się,NOUN,positive,+ s,4
odznaczenie,VERB,positive,+ s,1
odznaczyć się,NOUN,positive,+ s,3
odzyskać,NOUN,positive,+ s,2
odzyskiwać,NOUN,positive,+ s,1
odęty,ADV,negative,- s,2
odłóg,VERB,negative,- s,1
odśmiać się,NOUN,positive,+ s,2
odśnieżyć,NOUN,positive,+ s,1
odświeżający,ADV,positive,+ s,2
odświeżać,NOUN,positive,+ s,2
odświeżyć,NOUN,positive,+ s,2
odświętność,VERB,positive,+ s,2
odżywać,NOUN,positive,+ s,2
odżywczy,ADV,positive,+ s,4
odżywiać,NOUN,positive,+ s,3
odżywić,NOUN,positive,+ s,8
odżyć,NOUN,positive,+ s,1
ofensywa,VERB,negative,- s,1
ofensywny,ADV,negative,- s,6
oferma,VERB,negative,- s,3
ofermowatość,VERB,negative,- m,2
ofermowaty,ADV,negative,- s,2
offtopować,NOUN,negative,- s,2
ofiara,VERB,negative,- s,5
ofiara losu,VERB,negative,- m,2
ofiarniczy,ADV,negative,- s,1
ofiarnik,VERB,positive,+ s,2
ofiarność,VERB,positive,+ s,2
ofiarny,ADV,positive,+ s,4
ofiarodawca,VERB,positive,+ s,1
ofiarodawczyni,VERB,positive,+ s,2
ofiarować,NOUN,positive,+ s,3
oficjalny,ADV,positive,+ m,1
ofoliować,NOUN,positive,+ s,1
oganiać,NOUN,negative,- s,7
oganiać się,NOUN,negative,- s,5
ogarnięty,ADV,positive,+ m,2
ogień,VERB,negative,- s,5
oglądalność,VERB,positive,+ s,1
oglądalny,ADV,positive,+ s,2
oglądać,NOUN,negative,- s,1
oglądać się,NOUN,positive,+ s,7
oględność,VERB,positive,+ s,4
oględny,ADV,negative,- s,10
ognisko,VERB,positive,+ s,1
ognisko domowe,VERB,positive,+ s,2
ognisko rodzinne,VERB,positive,+ s,2
ognistość,VERB,positive,+ s,2
ognisty,ADV,negative,- s,8
ogniwo,VERB,positive,+ s,2
ognić się,NOUN,negative,- s,3
ogolić,NOUN,negative,- s,2
ogon,VERB,negative,- s,2
ogonić,NOUN,negative,- s,6
ogonić się,NOUN,negative,- s,6
ogołocony,ADV,negative,- m,2
ograniczać,NOUN,negative,- s,3
ograniczenie,VERB,negative,- s,4
ogranicznik,VERB,negative,- s,2
ograniczoność,VERB,negative,- s,4
ograniczony,ADV,negative,- s,8
ograniczyć,NOUN,negative,- m,1
ograny,ADV,negative,- s,2
ogromniasty,ADV,negative,- m,2
ogromny,ADV,positive,+ s,5
ogólnikowość,VERB,negative,- m,2
ogólnikowy,ADV,negative,- s,4
ogórkowy,ADV,negative,- s,2
ogłupiały,ADV,negative,- s,3
ogłuszający,ADV,negative,- m,2
ohyda,VERB,negative,- m,2
ohydny,ADV,negative,- m,10
ohydztwo,VERB,negative,- s,2
ojciec chrzestny,VERB,positive,+ s,3
ojciec święty,VERB,positive,+ s,1
ojcobójca,VERB,negative,- m,2
ojcobójstwo,VERB,negative,- m,2
ojcowie,VERB,positive,+ s,1
ojcowizna,VERB,positive,+ s,1
ojcowski,ADV,positive,+ s,5
ojczyste progi,VERB,positive,+ m,2
ojczysty,ADV,positive,+ s,4
ojczyzna,VERB,positive,+ m,1
ok,ADV,positive,+ s,2
okaleczały,ADV,negative,- s,2
okaleczenie,VERB,negative,- s,1
okaleczeć,NOUN,negative,- s,4
okay,ADV,positive,+ s,2
okazałość,VERB,positive,+ s,4
okazały,ADV,positive,+ s,5
okazja,VERB,positive,+ s,2
okazowy,ADV,positive,+ s,2
okazyjny,ADV,positive,+ s,2
okej,ADV,positive,+ s,2
okiełznać,NOUN,positive,+ s,1
oklapły,ADV,negative,- s,3
oklask,VERB,positive,+ s,2
oklaskiwanie,VERB,positive,+ s,2
oklepaność,VERB,negative,- m,2
oklepany,ADV,negative,- s,2
oko cyklonu,VERB,negative,- s,3
okoliczność łagodząca,VERB,positive,+ s,2
okowy,VERB,negative,- m,2
okrasić,NOUN,positive,+ s,2
okropieństwo,VERB,negative,- m,4
okropnie,ADJ,negative,- m,4
okropność,VERB,negative,- m,6
okropny,ADV,negative,- m,7
okrucieństwo,VERB,negative,- m,2
okruszek,VERB,positive,+ s,2
okrutnie,ADJ,negative,- m,2
okrutnik,VERB,negative,- m,2
okrutny,ADV,negative,- s,10
okrwawić,NOUN,negative,- s,2
okrzesany,ADV,positive,+ s,2
okrągluchny,ADV,positive,+ s,1
okrąglusi,ADV,positive,+ s,1
okrąglutki,ADV,positive,+ s,2
okrągławy,ADV,negative,- s,1
okrągły,ADV,negative,- s,3
okrężność,VERB,negative,- s,2
oktawa,VERB,positive,+ s,1
okularnik,VERB,negative,- s,2
okultystyczny,ADV,negative,- s,3
okup,VERB,negative,- m,1
okupacja,VERB,negative,- s,6
okupacyjny,ADV,negative,- m,2
okupant,VERB,negative,- m,2
okólność,VERB,negative,- s,2
oldschoolowy,ADV,positive,+ s,3
oldskulowy,ADV,positive,+ s,4
oleodrukowy,ADV,negative,- s,2
olewacki,ADV,negative,- m,2
olewactwo,VERB,negative,- s,3
olimpijczyk,VERB,positive,+ m,2
olimpijka,VERB,positive,+ s,1
olśnienie,VERB,positive,+ s,3
olśniewający,ADV,negative,- s,3
olśniewać,NOUN,positive,+ m,2
olśnić,NOUN,positive,+ m,2
omdlały,ADV,negative,- s,6
omijać,NOUN,negative,- s,10
ominąć,NOUN,negative,- s,8
omnipotencja,VERB,negative,- s,2
omszeć,NOUN,negative,- s,4
omywać,NOUN,positive,+ s,2
omyć,NOUN,positive,+ s,2
omyłkowość,VERB,negative,- m,2
omyłkowy,ADV,negative,- s,2
omłot,VERB,negative,- s,3
onanista,VERB,negative,- s,1
onanistyczny,ADV,negative,- s,3
ondyna,VERB,negative,- s,1
onetowy,ADV,negative,- s,2
oniemieć,NOUN,negative,- s,3
onieśmielenie,VERB,negative,- s,2
opaczność,VERB,negative,- s,2
opaczny,ADV,negative,- s,2
opalenizna,VERB,positive,+ s,1
opanowanie,VERB,positive,+ s,3
opanowany,ADV,positive,+ s,4
opanować,NOUN,positive,+ s,3
oparcie,VERB,positive,+ s,3
oparszywiały,ADV,negative,- s,4
opasłość,VERB,negative,- m,2
opasły,ADV,negative,- s,5
opatulać,NOUN,positive,+ s,3
opatulić,NOUN,positive,+ s,4
opały,VERB,negative,- s,2
operatywność,VERB,positive,+ m,2
operatywny,ADV,positive,+ s,4
opicować,NOUN,negative,- s,2
opieka,VERB,positive,+ s,2
opieka społeczna,VERB,positive,+ s,1
opiekować się,NOUN,positive,+ s,2
opiekun,VERB,positive,+ s,2
opiekunka,VERB,positive,+ s,1
opiekuńczość,VERB,positive,+ m,2
opiekuńczy,ADV,positive,+ s,4
opierać się,NOUN,positive,+ s,4
opieszalec,VERB,negative,- s,2
opieszalstwo,VERB,negative,- s,2
opieszałość,VERB,negative,- m,4
opieszały,ADV,negative,- s,4
opiewać,NOUN,positive,+ s,2
opijać,NOUN,negative,- s,2
opijus,VERB,negative,- s,2
opilstwo,VERB,negative,- s,4
opinia,VERB,positive,+ s,2
opiniotwórca,VERB,positive,+ s,1
opiniotwórczy,ADV,positive,+ s,2
opis,VERB,positive,+ s,1
opisywalny,ADV,positive,+ s,1
opity,ADV,negative,- s,2
opiumowy,ADV,negative,- s,1
opić,NOUN,negative,- s,2
opięty,ADV,negative,- s,1
oplewić,NOUN,positive,+ s,2
opluwacz,VERB,negative,- m,2
opoka,VERB,positive,+ s,5
opora,VERB,negative,- s,1
oporność,VERB,negative,- m,2
oporny,ADV,positive,+ s,8
oportunista,VERB,negative,- s,3
oportunistyczny,ADV,negative,- s,4
oportunizm,VERB,negative,- s,3
oporządzać,NOUN,positive,+ s,7
oporządzać się,NOUN,positive,+ s,1
oporządzić,NOUN,positive,+ s,9
oporządzić się,NOUN,positive,+ s,1
opowiadać,NOUN,positive,+ s,1
opracować,NOUN,positive,+ s,1
oprawca,VERB,negative,- m,2
oprawić,NOUN,positive,+ s,1
opresja,VERB,negative,- s,2
opresyjny,ADV,negative,- m,2
oprych,VERB,negative,- s,2
opryskliwość,VERB,negative,- m,2
opryskliwy,ADV,negative,- m,4
opryszek,VERB,negative,- s,2
oprzeć się,NOUN,positive,+ s,8
oprzytomniały,ADV,positive,+ s,1
optimum,VERB,positive,+ s,2
optymalizacja,VERB,positive,+ s,2
optymalizm,VERB,positive,+ s,2
optymalizować,NOUN,positive,+ s,2
optymalność,VERB,positive,+ s,3
optymalny,ADV,positive,+ s,2
optymista,VERB,positive,+ s,3
optymistka,VERB,positive,+ s,2
optymistyczny,ADV,positive,+ s,4
optymizm,VERB,positive,+ m,2
opust,VERB,positive,+ s,1
opustoszały,ADV,negative,- s,1
opuszczony,ADV,negative,- s,4
opój,VERB,negative,- m,2
opór,VERB,negative,- s,2
opóźnienie,VERB,negative,- s,2
opóźnienie umysłowe,VERB,negative,- s,2
opędzać,NOUN,negative,- s,6
opędzać się,NOUN,negative,- s,3
opędzić,NOUN,negative,- s,6
opędzić się,NOUN,negative,- s,4
opętanie,VERB,negative,- s,2
opętaniec,VERB,negative,- s,1
opętany,ADV,negative,- s,6
opętańczy,ADV,negative,- s,9
opłacalność,VERB,positive,+ s,3
opłacalny,ADV,positive,+ m,2
opłakana noc,VERB,negative,- s,3
opłakany,ADV,negative,- m,2
opłotki,VERB,negative,- s,1
opłynąć,NOUN,positive,+ m,2
opływać,NOUN,positive,+ s,4
opływowy,ADV,positive,+ s,1
oratorski,ADV,positive,+ s,2
oratorstwo,VERB,positive,+ m,2
orać,NOUN,negative,- s,2
order,VERB,positive,+ s,1
ordynarność,VERB,negative,- m,4
ordynarny,ADV,negative,- s,7
ordynaryjny,ADV,negative,- s,3
ordynus,VERB,negative,- m,2
organiczny,ADV,negative,- s,5
organizacja terrorystyczna,VERB,negative,- m,2
organizator,VERB,positive,+ s,1
organizatorka,VERB,positive,+ s,1
organizować,NOUN,positive,+ s,10
organizować się,NOUN,positive,+ s,2
orgastyczny,ADV,positive,+ s,7
orgazm,VERB,positive,+ m,1
orgazmiczny,ADV,positive,+ s,7
orgia,VERB,positive,+ s,3
orgiastyczny,ADV,negative,- s,4
orgietka,VERB,negative,- s,2
orientacja,VERB,positive,+ s,3
orka,VERB,negative,- s,3
orlę,VERB,positive,+ s,2
ormo-wiec,VERB,negative,- s,2
ormowiec,VERB,negative,- s,2
ortodoksyjność,VERB,negative,- s,2
ortodoksyjny,ADV,negative,- s,2
orwellowski,ADV,negative,- s,1
oryginalność,VERB,positive,+ m,1
oryginalny,ADV,positive,+ s,4
orzeł,VERB,positive,+ m,2
orzeźwiający,ADV,positive,+ s,2
orzeźwieć,NOUN,positive,+ s,2
orzynać,NOUN,positive,+ s,3
orzynać się,NOUN,negative,- s,2
orędować,NOUN,positive,+ s,2
oręż,VERB,positive,+ m,2
orżnąć,NOUN,positive,+ s,3
orżnąć się,NOUN,negative,- s,3
osad,VERB,negative,- s,2
osamotnienie,VERB,negative,- s,2
osamotniony,ADV,negative,- s,2
oscarowy,ADV,positive,+ s,3
oschłość,VERB,negative,- m,2
oschły,ADV,negative,- s,4
osielstwo,VERB,negative,- s,3
osierociały,ADV,negative,- s,7
osioł,VERB,negative,- m,2
osioł dardanelski,VERB,negative,- m,2
osioł patentowany,VERB,negative,- m,2
osiągalny,ADV,positive,+ s,6
osiągać,NOUN,positive,+ s,6
osiągnąć,NOUN,positive,+ s,6
oskarowy,ADV,positive,+ s,3
oskarżenie,VERB,negative,- s,2
oskarżycielski,ADV,negative,- s,3
oskoma,VERB,positive,+ s,2
osoba,VERB,positive,+ s,2
osobistość,VERB,positive,+ m,2
osobisty,ADV,positive,+ m,1
osobnik,VERB,negative,- s,2
osobowość,VERB,positive,+ m,2
osowaty,ADV,negative,- s,2
osowiałość,VERB,negative,- m,2
osowiały,ADV,negative,- s,2
ospa,VERB,negative,- s,1
ospalstwo,VERB,negative,- s,4
ospałość,VERB,negative,- s,5
ospały,ADV,negative,- s,6
ospowaty,ADV,negative,- s,2
osrany,ADV,negative,- m,2
ostateczność,VERB,negative,- s,7
ostateczny,ADV,negative,- m,1
ostatni,ADV,negative,- s,4
ostatni dzwonek,VERB,negative,- s,2
ostatnia prosta,VERB,positive,+ s,2
ostatnie cielę z obory,VERB,negative,- s,3
ostatnie podrygi,VERB,negative,- s,2
ostatnie podrygi konającej ostrygi,VERB,negative,- s,1
ostatnie podrygi zdychającej ostrygi,VERB,negative,- s,1
ostentacja,VERB,negative,- s,2
ostentacyjny,ADV,negative,- s,2
ostoja,VERB,positive,+ s,2
ostra amunicja,VERB,negative,- s,1
ostracyzm,VERB,negative,- s,2
ostrawy,ADV,negative,- s,16
ostrość,VERB,negative,- m,2
ostrożniactwo,VERB,negative,- m,2
ostrożniś,VERB,negative,- s,2
ostrożny,ADV,positive,+ s,2
ostry,ADV,negative,- s,30
ostry jak brzytwa,ADV,positive,+ s,1
ostygły,ADV,negative,- s,1
oswobodziciel,VERB,positive,+ s,2
oswoić,NOUN,positive,+ s,2
osypywanie,VERB,positive,+ s,2
oszalały,ADV,negative,- s,4
oszaleć,NOUN,negative,- s,6
oszałamiający,ADV,positive,+ m,4
oszałamiać,NOUN,positive,+ s,2
oszczerca,VERB,negative,- m,2
oszczerczy,ADV,negative,- m,2
oszczerstwo,VERB,negative,- s,3
oszczędniś,VERB,negative,- s,2
oszczędności,VERB,positive,+ s,1
oszczędność,VERB,positive,+ s,5
oszczędny,ADV,positive,+ s,6
oszołamiający,ADV,positive,+ m,4
oszołom,VERB,negative,- s,4
oszołomienie,VERB,negative,- s,1
oszołomski,ADV,negative,- m,2
oszołomsko,ADJ,negative,- s,3
oszukaniec,VERB,negative,- m,2
oszukańczy,ADV,negative,- s,8
oszukiwać,NOUN,negative,- s,3
oszust,VERB,negative,- m,2
oszustwo,VERB,negative,- s,2
osądzać,NOUN,negative,- s,2
osłabienie,VERB,negative,- s,2
osłabienie gospodarcze,VERB,negative,- m,2
osłabły,ADV,negative,- s,2
osłaniać,NOUN,positive,+ s,2
osławiony,ADV,negative,- s,2
osłona,VERB,positive,+ s,4
osłonić,NOUN,positive,+ s,1
osłonowy,ADV,positive,+ s,1
osłuchany,ADV,negative,- s,2
osłupienie,VERB,negative,- s,2
otaczać,NOUN,negative,- s,5
otchłanny,ADV,negative,- s,4
otchłań,VERB,negative,- s,5
otoczyć,NOUN,negative,- s,4
otrucie,VERB,negative,- s,3
otrzeć,NOUN,negative,- s,3
otrzeć się,NOUN,positive,+ s,2
otrąbiać,NOUN,positive,+ s,8
otrąbić,NOUN,positive,+ s,8
otucha,VERB,positive,+ m,2
otulać,NOUN,positive,+ s,4
otulać się,NOUN,positive,+ s,1
otulić,NOUN,positive,+ s,4
otumaniony,ADV,negative,- s,3
otwarta głowa,VERB,positive,+ s,2
otwartość,VERB,positive,+ s,7
otwarty,ADV,positive,+ s,9
otwarty umysł,VERB,positive,+ s,2
otworzysty,ADV,positive,+ s,1
otworzyć,NOUN,positive,+ s,2
otynkować,NOUN,negative,- s,2
otyłość,VERB,negative,- s,2
otyły,ADV,negative,- m,1
otępiałość,VERB,negative,- m,2
otępiały,ADV,negative,- s,4
otępienie,VERB,negative,- m,2
owacja,VERB,positive,+ s,2
owdowiały,ADV,negative,- s,2
owieczka,VERB,positive,+ s,1
owoc,VERB,positive,+ s,3
owocny,ADV,positive,+ s,2
owocodajny,ADV,positive,+ s,4
owrzodziały,ADV,negative,- s,3
ozdabiać,NOUN,positive,+ s,2
ozdoba,VERB,positive,+ s,4
ozdobić,NOUN,positive,+ s,5
ozdrowiały,ADV,positive,+ s,1
oziębłość,VERB,negative,- m,2
oziębły,ADV,negative,- m,4
oznaka,VERB,positive,+ s,1
ołowiany,ADV,negative,- s,4
ołów,VERB,negative,- s,2
ościsty,ADV,negative,- s,1
ośla głowa,VERB,negative,- m,2
ośle ucho,VERB,negative,- s,2
oślepiający,ADV,negative,- m,1
ośli łeb,VERB,negative,- m,2
oślizgły,ADV,negative,- s,10
oślizły,ADV,negative,- s,9
ośmiorzędny,ADV,negative,- s,3
oświadczenie,VERB,positive,+ s,1
oświecony,ADV,positive,+ s,5
ożywczy,ADV,positive,+ s,2
ożywiać,NOUN,positive,+ s,2
ożywienie gospodarcze,VERB,positive,+ m,2
ożywiony,ADV,negative,- s,4
ożywić,NOUN,positive,+ s,2
ożyć,NOUN,positive,+ s,2
ożłopać się,NOUN,negative,- s,4
pacan,VERB,negative,- m,2
pachnący,ADV,positive,+ s,2
pacjentka,VERB,negative,- s,1
pacyfikacja,VERB,negative,- s,2
pacykarz,VERB,negative,- m,2
paczka,VERB,positive,+ s,2
padaka,VERB,negative,- s,3
padalcowaty,ADV,negative,- m,2
padalec,VERB,negative,- m,2
padać,NOUN,negative,- s,13
padać trupem,NOUN,negative,- m,1
padół,VERB,negative,- s,2
pajac,VERB,negative,- m,2
pajacowaty,ADV,negative,- s,4
pajdokracja,VERB,negative,- s,2
pajęczarstwo,VERB,negative,- s,2
pajęczarz,VERB,negative,- m,4
paka,VERB,negative,- s,6
pakol,VERB,negative,- m,2
pakowny,ADV,positive,+ s,2
pakt,VERB,positive,+ s,1
palant,VERB,negative,- m,2
palcowaty,ADV,negative,- s,2
paleta,VERB,positive,+ s,1
paliwoda,VERB,negative,- s,4
paliwooszczędny,ADV,positive,+ s,2
paliwożerny,ADV,negative,- s,2
palić,NOUN,negative,- s,25
palić się,NOUN,positive,+ s,15
palić wrotki,NOUN,negative,- s,2
palić łyżwy,NOUN,negative,- s,2
palnąć głupstwo,NOUN,negative,- s,2
paląco,ADJ,negative,- s,3
palący,ADV,negative,- s,6
pamfletowość,VERB,negative,- s,1
pamiątka,VERB,positive,+ s,2
pamiątkowy,ADV,positive,+ s,1
pamiętać,NOUN,positive,+ s,5
pamiętliwy,ADV,negative,- s,2
pamiętniczek,VERB,positive,+ s,1
pamiętnik,VERB,positive,+ s,2
pamięć,VERB,positive,+ s,1
pampuch,VERB,negative,- s,2
pan i władca,VERB,negative,- s,2
panaceum,VERB,positive,+ s,2
pandemiczny,ADV,negative,- m,2
pandemonium,VERB,negative,- m,4
panegiryzm,VERB,negative,- m,2
panek,VERB,negative,- s,2
pani,VERB,positive,+ s,2
panicz,VERB,negative,- m,2
paniczny,ADV,negative,- m,2
paniczątko,VERB,negative,- s,4
panienka,VERB,positive,+ s,4
panienka spod latarni,VERB,negative,- s,2
panika,VERB,negative,- m,2
panikarski,ADV,negative,- s,2
panikarstwo,VERB,negative,- m,2
panikarz,VERB,negative,- s,2
paniusia,VERB,negative,- s,2
paniątko,VERB,negative,- s,2
panna,VERB,positive,+ s,1
panna w wieku poborowym,VERB,positive,+ s,1
pannica,VERB,negative,- s,1
panoczek,VERB,negative,- s,2
panoptikum,VERB,negative,- s,2
panoramiczny,ADV,positive,+ s,1
panseksualny,ADV,negative,- s,1
panteon,VERB,positive,+ s,2
pantofel,VERB,negative,- s,2
pantoflarstwo,VERB,negative,- s,3
pantoflarz,VERB,negative,- s,2
paparazzi,VERB,negative,- s,2
paparazzo,VERB,negative,- s,2
papać,NOUN,positive,+ s,1
papierek lakmusowy,VERB,positive,+ s,1
papierowość,VERB,negative,- s,2
papierowy,ADV,negative,- s,4
papierośnik,VERB,negative,- s,2
papinek,VERB,negative,- s,3
paproch,VERB,negative,- s,1
paproszek,VERB,negative,- s,1
papuga,VERB,negative,- m,2
papugowaty,ADV,negative,- s,6
papuzi,ADV,negative,- s,2
papużka,VERB,positive,+ s,1
papużki nierozłączki,VERB,positive,+ s,1
parabank,VERB,negative,- s,1
paradność,VERB,positive,+ s,2
paradny,ADV,positive,+ s,4
paradoks,VERB,negative,- s,2
paradoksalność,VERB,negative,- m,2
paradoksalny,ADV,negative,- s,2
paradygmatyczny,ADV,positive,+ s,1
parafaszysta,VERB,negative,- s,2
parafia,VERB,positive,+ s,1
parafianin,VERB,negative,- s,2
parafiaństwo,VERB,negative,- s,5
parafiańszczyzna,VERB,negative,- s,2
paralityczny,ADV,negative,- s,2
paralityk,VERB,negative,- s,1
paraliż,VERB,negative,- m,2
paraliż decyzyjny,VERB,negative,- m,2
paraliżujący,ADV,negative,- s,1
paralogiczny,ADV,negative,- s,2
paranaukowy,ADV,negative,- s,2
paranoiczka,VERB,negative,- s,2
paranoiczność,VERB,negative,- m,2
paranoiczny,ADV,negative,- m,2
paranoidalny,ADV,negative,- m,2
paranoik,VERB,negative,- m,1
paranoja,VERB,negative,- m,2
parch,VERB,negative,- s,2
parchaty,ADV,negative,- s,2
parcie na szkło,VERB,negative,- s,2
parias,VERB,negative,- m,2
park sztywnych,VERB,negative,- m,1
parka,VERB,negative,- s,1
parlamentarny,ADV,positive,+ s,4
parnas,VERB,positive,+ s,2
parny,ADV,negative,- s,1
parobas,VERB,negative,- m,2
parobczański,ADV,negative,- s,2
parskać,NOUN,negative,- s,4
parsknąć,NOUN,negative,- s,4
parszywa owca,VERB,negative,- m,2
parszywiec,VERB,negative,- s,3
parszywość,VERB,negative,- m,2
parszywy,ADV,negative,- s,7
partacki,ADV,negative,- m,2
partacz,VERB,negative,- m,2
partia,VERB,negative,- s,1
partia kanapowa,VERB,negative,- s,1
partner,VERB,positive,+ s,2
partnerka,VERB,positive,+ s,1
partnerski,ADV,positive,+ s,2
partnerstwo,VERB,positive,+ s,2
partyjniacki,ADV,negative,- m,2
partyjniactwo,VERB,negative,- m,2
partyjniak,VERB,negative,- s,2
partyjny,VERB,negative,- s,2
partykularysta,VERB,negative,- s,2
partykularyzm,VERB,negative,- m,2
partykularz,VERB,negative,- s,2
partyzancki,ADV,negative,- s,3
partyzantka,VERB,negative,- s,1
parweniusz,VERB,negative,- m,2
parweniuszowski,ADV,negative,- s,2
parówa,VERB,negative,- m,1
parówka,VERB,negative,- m,1
pasek,VERB,negative,- s,2
paser,VERB,negative,- m,2
paserka,VERB,negative,- m,1
paserstwo,VERB,negative,- m,1
pasibrzuch,VERB,negative,- m,4
pasja,VERB,positive,+ s,6
pasjonat,VERB,positive,+ s,3
pasjonatka,VERB,positive,+ s,2
pasjonująco,ADJ,positive,+ s,3
pasjonujący,ADV,positive,+ m,2
paskarstwo,VERB,negative,- s,2
paskarz,VERB,negative,- m,2
paskuda,VERB,negative,- m,4
paskudnie,ADJ,negative,- m,2
paskudnik,VERB,negative,- s,2
paskudny,ADV,negative,- m,10
paskudziarz,VERB,negative,- s,2
paskudzić się,NOUN,negative,- s,2
paskudztwo,VERB,negative,- s,7
pasożyt,VERB,negative,- s,4
pasożytnictwo,VERB,negative,- m,2
pasożytniczy,ADV,negative,- s,6
pasterskość,VERB,positive,+ s,1
pasterz,VERB,positive,+ s,2
pastuch,VERB,negative,- s,2
pasywista,VERB,negative,- s,2
pasywizm,VERB,negative,- m,2
pasywnie,ADJ,negative,- s,2
pasywność,VERB,negative,- s,2
pasywny,ADV,negative,- s,2
paszcza,VERB,negative,- m,1
paszczur,VERB,negative,- m,2
paszkwilancki,ADV,negative,- m,2
paszkwilant,VERB,negative,- m,2
pasztet,VERB,negative,- s,4
pasztetówa,VERB,negative,- m,2
patafian,VERB,negative,- s,3
patatajka,VERB,negative,- s,2
patałach,VERB,negative,- m,2
patelnia,VERB,negative,- s,2
patent,VERB,positive,+ s,1
patentowany,ADV,negative,- s,3
patetyczny,ADV,negative,- s,2
patogeniczny,ADV,negative,- s,3
patogenny,ADV,negative,- s,4
patol,VERB,negative,- m,2
patola,VERB,negative,- m,2
patolnia,VERB,negative,- m,2
patologia,VERB,negative,- s,5
patologicznie,ADJ,negative,- s,3
patologiczny,ADV,negative,- m,8
patos,VERB,positive,+ s,3
patowy,ADV,negative,- m,2
patriarcha,VERB,positive,+ s,2
patriarchalność,VERB,positive,+ s,2
patriota,VERB,positive,+ s,2
patriotka,VERB,positive,+ s,1
patriotyczność,VERB,positive,+ s,2
patriotyczny,ADV,positive,+ s,2
patriotyzm,VERB,positive,+ s,2
patron,VERB,positive,+ s,2
patronat,VERB,positive,+ s,2
patyk,VERB,negative,- m,2
patykowaty,ADV,negative,- s,1
pauperyzacja,VERB,negative,- s,2
pazerność,VERB,negative,- m,2
pazerny,ADV,negative,- s,3
pazur,VERB,negative,- s,5
pała,VERB,negative,- s,9
pałaszować,NOUN,positive,+ s,2
pałka,VERB,negative,- s,4
pałkarz,VERB,negative,- s,2
pałuba,VERB,negative,- s,2
pańcia,VERB,negative,- s,2
pański,ADV,negative,- s,2
pańskość,VERB,negative,- s,2
państwo autorytarne,VERB,negative,- s,2
państwo demokratyczne,VERB,positive,+ s,2
państwo młodzi,VERB,positive,+ s,2
państwo prawne,VERB,positive,+ s,1
państwo totalitarne,VERB,negative,- m,2
państwo w państwie,VERB,negative,- m,1
państwo wyznaniowe,VERB,negative,- s,1
państwowiec,VERB,positive,+ s,1
pańszczyzna,VERB,negative,- s,3
paść,NOUN,negative,- s,21
paść trupem,NOUN,negative,- m,1
pchać,NOUN,negative,- s,7
pchnięcie,VERB,negative,- m,2
pech,VERB,negative,- m,2
pechowiec,VERB,negative,- s,1
pechowość,VERB,negative,- s,2
pechowy,ADV,negative,- s,4
pedagogicznie,ADJ,positive,+ s,1
pedalski,ADV,negative,- m,6
pedalsko,ADJ,negative,- s,3
pedalstwo,VERB,negative,- m,2
pedant,VERB,negative,- s,2
pedanteria,VERB,negative,- s,2
pedantyczność,VERB,negative,- s,2
pedantyczny,ADV,negative,- s,3
pedantyzm,VERB,negative,- s,2
pedał,VERB,negative,- m,2
pederasta,VERB,negative,- m,2
pedofil,VERB,negative,- m,2
pedofilia,VERB,negative,- m,2
pedofilstwo,VERB,negative,- m,2
pedryl,VERB,negative,- s,2
pedzio,VERB,negative,- s,2
peerelowski,ADV,negative,- s,2
pejoratywny,ADV,negative,- s,3
pensjonarski,ADV,negative,- s,2
pensjonarskość,VERB,negative,- s,2
peowiec,VERB,negative,- s,1
pepiniera,VERB,positive,+ s,2
perełka,VERB,positive,+ s,6
perfekcja,VERB,positive,+ m,2
perfekcyjny,ADV,positive,+ m,2
perfidia,VERB,negative,- m,2
perfidny,ADV,negative,- m,4
pergaminowość,VERB,negative,- s,2
pergaminowy,ADV,negative,- s,2
perlistość,VERB,positive,+ s,2
perlisty,ADV,positive,+ s,2
perlić się,NOUN,positive,+ s,3
permanentny,ADV,negative,- s,2
permisywny,ADV,negative,- s,2
personat,VERB,positive,+ s,3
perspektywa,VERB,positive,+ s,1
